id,name,cuisine,mealType,servings,difficulty,totalTimeMinutes,ingredientsCount,stepsCount,calories,protein,carbs,fat,fiber,equipment,dietTags,variantGroup,variantType
"egg-fried-rice","Egg Fried Rice","Asian","dinner","2","easy","12","7","5","420","14","62","12","3","stovetop","vegetarian","",""
"tuna-mayo-rice-bowl","Tuna Mayo Rice Bowl","Asian","lunch","1","easy","5","7","4","480","28","50","18","1","no-kitchen;microwave","high-protein;dairy-free","",""
"black-bean-burrito-bowl","Black Bean Burrito Bowl","Mexican","dinner","2","easy","15","8","4","520","18","78","14","12","stovetop;microwave","vegetarian;gluten-free","",""
"chickpea-curry-rice-bowl","Chickpea Curry Rice Bowl","Indian","dinner","3","easy","25","8","6","510","14","80","14","10","stovetop","vegan;gluten-free;dairy-free","",""
"lentil-dal-rice-bowl","Lentil Dal Rice Bowl","Indian","dinner","4","easy","30","8","5","420","16","78","5","12","stovetop","vegan;gluten-free;dairy-free","",""
"tofu-vegetable-rice-bowl","Tofu Vegetable Rice Bowl","Asian","dinner","2","easy","20","7","5","510","22","64","18","6","stovetop","vegan;dairy-free;high-protein","",""
"teriyaki-chicken-rice-bowl","Teriyaki Chicken Rice Bowl","Asian","dinner","2","easy","20","7","5","560","32","70","14","4","stovetop;microwave","high-protein;dairy-free","",""
"kimchi-egg-rice-bowl","Kimchi Egg Rice Bowl","Korean","lunch","1","easy","10","7","5","480","18","58","18","3","stovetop","vegetarian;dairy-free","",""
"soy-garlic-cabbage-rice-bowl","Soy Garlic Cabbage Rice Bowl","Asian","dinner","2","easy","15","7","5","380","8","64","10","6","stovetop","vegan;dairy-free","",""
"rice-cooker-congee","Rice Cooker Congee","Asian","breakfast","4","easy","60","6","5","220","6","44","2","1","rice-cooker","vegan;dairy-free;gluten-free","",""
"chili-rice-bowl","Chili Rice Bowl","Mexican","dinner","3","easy","25","8","5","500","20","84","8","14","stovetop","vegetarian","",""
"sweet-potato-black-bean-bowl","Sweet Potato Black Bean Bowl","Mexican","dinner","2","easy","12","7","4","440","15","80","8","14","microwave;oven","vegetarian;gluten-free","",""
"peanut-tofu-rice-bowl","Peanut Tofu Rice Bowl","Asian","dinner","2","easy","20","8","5","560","24","60","24","8","stovetop;microwave","vegan;dairy-free;high-protein","",""
"lemon-chickpea-rice-bowl","Lemon Chickpea Rice Bowl","Mediterranean","lunch","2","easy","15","7","5","480","14","76","14","10","stovetop","vegan;dairy-free","",""
"canned-salmon-rice-bowl","Canned Salmon Rice Bowl","Asian","lunch","1","easy","5","7","5","560","32","56","22","2","no-kitchen","high-protein;dairy-free","",""
"garlic-butter-noodles","Garlic Butter Noodles","Italian","dinner","2","easy","12","7","4","480","14","64","18","3","stovetop","vegetarian","",""
"tomato-pasta","Tomato Pasta","Italian","dinner","3","easy","20","7","5","420","12","70","10","5","stovetop","vegetarian;dairy-free","",""
"tuna-pasta","Tuna Pasta","Italian","lunch","2","easy","15","7","5","520","28","64","16","3","stovetop","high-protein;dairy-free","",""
"lentil-bolognese","Lentil Bolognese","Italian","dinner","4","easy","35","8","5","480","18","84","6","12","stovetop","vegan;dairy-free","",""
"peanut-noodles","Peanut Noodles","Asian","dinner","2","easy","15","8","5","560","18","70","22","5","stovetop","vegan;dairy-free","",""
"chili-oil-egg-noodles","Chili Oil Egg Noodles","Asian","dinner","1","easy","10","7","5","540","16","60","24","3","stovetop","vegetarian;dairy-free","",""
"ramen-egg-bowl","Ramen Egg Bowl","Asian","lunch","1","easy","12","6","5","460","14","50","22","3","stovetop;microwave","vegetarian","",""
"ramen-stir-fry","Ramen Stir Fry","Asian","dinner","2","easy","12","8","4","480","12","60","18","5","stovetop","vegan;dairy-free","",""
"pesto-pasta-with-peas","Pesto Pasta with Peas","Italian","dinner","2","easy","15","7","4","540","18","68","22","6","stovetop","vegetarian","",""
"one-pot-mac-and-cheese","One-Pot Mac and Cheese","American","dinner","3","easy","15","7","5","560","22","70","22","3","stovetop","vegetarian","",""
"sardine-lemon-pasta","Sardine Lemon Pasta","Italian","dinner","2","easy","15","7","5","540","26","64","20","3","stovetop","high-protein;dairy-free","",""
"udon-egg-drop-soup","Udon Egg Drop Soup","Asian","dinner","2","easy","15","8","5","420","18","58","12","3","stovetop","vegetarian;dairy-free","",""
"sesame-cold-noodles","Sesame Cold Noodles","Asian","lunch","2","easy","15","8","4","520","16","64","22","4","stovetop","vegan;dairy-free","",""
"tomato-chickpea-pasta","Tomato Chickpea Pasta","Italian","dinner","3","easy","20","8","5","520","18","84","12","9","stovetop","vegan;dairy-free","",""
"cabbage-garlic-noodles","Cabbage Garlic Noodles","Asian","dinner","2","easy","15","7","5","460","12","64","16","6","stovetop","vegetarian","",""
